type,meter_number,mpan_top,mpar,serial_number
gas,,,44880001,E040K0023016D6
elec,2000002073966,03801126,,S04R14585
gas,,,60625100,G4A02510120801
elec,2000057097035,03801127,,E17UP08687
gas,,,8813270701,03025197
elec,2000002183757,04111135,,E12Z068216
gas,,,64427206,E040K0364218D6
elec,1900041088170,03801320,,S9048375
elec,1900027088792,03801320,,AJ41141
gas,,,929036009,G4K00032581001
elec,1900016115125,03801320,,19L3908752
elec,2000000167600,03801126,,214662130
elec,2000003066700,04811129,,E12Z071515
gas,,,9321528604,E065K1393515D6
gas,,,9389867805,E016K0279920D6
elec,1200062104347,00845009,,K16W314272
elec,2000000885809,03801126,,D06C09871
gas,,,3358484009,3900577
elec,2000001014808,03801127,,K96C09281
elec,1900003018690,03801320,,D13B219454
elec,1050000709457,00845086,,NG13K00538
gas,,,9155306801,G4K80108590501
gas,,,61949805,4086585S
elec,1012480553025,01801003,,16K0101887
gas,,,9381620505,G10K3111552201
elec,2000057220035,03801126,,E18ML00557
elec,1012836893630,03801201,,F73E012912
elec,1200061198743,00845200,,E16Z002205
elec,2000056364613,03801127,,E15TB00675
elec,1170000450027,00845N14,,K12W600643
gas,,,3345168404,E6S00563819811
elec,2000002158626,03801126,,S81C66038
elec,2198765359260,00845117,,TG18K00207
elec,1900045234161,04811120,,P0020203
gas,,,3361861006,M016A0545308A6
elec,2000050054745,00845453,,K12W501446
elec,1200061878398,03801952,,D15A219481
elec,2199991342310,03801200,,E12Z085523
elec,2000005704037,01801100,,19L4175816
gas,,,3328788606,E6S19557511961
elec,1200026032858,04811956,,E09BG07550
elec,1900091008808,00845550,,K16A000557
elec,1100012722200,03801013,,S08W029870
elec,1013017855338,03136201,,E11Z66013
elec,1200033392753,03801952,,K13W321149
elec,1610019350926,03801004,,E12Z004558
elec,1900092056050,03801201,,250501416
gas,,,64385508,M016A0258002A6
gas,,,9373026800,M016K0280416D6
gas,,,65972304,M016K0162807D6
elec,1900035113006,04829120,,215135414
elec,1200021574465,03801201,,217214762
elec,1012398793312,04807201,,E10TB02051
elec,1013091057898,03801204,,E16Z005289
gas,,,9322398701,M025A0069214D6
gas,,,54827710,6522928SC
elec,2000002763908,03801127,,E07BG14154
elec,2000010465432,03801127,,K16TR00226
elec,2000009896854,03801127,,K16TR00030
elec,2000054496647,03801127,,40954486
gas,,,1563820909,M025K0377913D6
elec,1012833334844,03801201,,A12LB22963
elec,2000027285875,00845453,,K18D01060
elec,2000000884647,03801126,,216136829
gas,,,5035181003,G4K00234091601
elec,2000051716062,00845453,,K19C00687
elec,1200051167153,03801952,,E14Z005554
gas,,,9391305009,M016M0146421S6
elec,1100012940150,03801013,,S72FM30637
elec,1100012427087,03801013,,K73FM05691
elec,1200040020513,03801952,,K18C05981
gas,,,64770803,M016A2529901A6
elec,1100051071441,00845058,,E10BG25775
gas,,,3311652505,00797323
gas,,,1658023404,E016K0302916D6
elec,1200021861571,03801952,,D13A220818
elec,1012430171750,3801201,,E11Z87042
elec,1900047338369,,,
elec,1200033122381,3801952,,L87A 43565
elec,2000056597904,03801126,,E16UP06635
elec,2000001976244,03801H02,,K14C06562
elec,2000001976280,3801126,,S73C34094
elec,1800020819993,04021221,,3410P08875
elec,2000002073920,1801100,,S80C64017
elec,2200030121138,3801110,,211046373
elec,2200019959215,3873110,,211191630
elec,2000000050169,03801H01,,E10Z06407
elec,2000051730829,3801100,,S76C00046
elec,2000027323801,00845H86,,
elec,2000001976350,3801126,,E12Z091633
elec,1100009992175,3801013,,17P2019974
elec,1900023021172,4016120,,S8420713
elec,1200022788090,3801952,,19K0127658
elec,2000057590333,3801127,,K19C02013
elec,1300010207420,3801201,,N910J04619
elec,1421841200002,3801007,,E09BG10926
elec,1800020819993,4021221,,3410P08875
elec,1800020819993,4021221,,3410P08875
elec,1200034103798,3801202,,E17UP07908
gas,,,49377006,E100K0684015D6
gas,,,17734110,6173093
gas,,,8878361003,G4K04362510101
gas,,,9347106901,G4A0026178160
gas,,,9344880500,M016K0565015D6
gas,,,8450101602,G4P20543171600
gas,,,4239279709,4239279709
gas,,,9377302605,E040K0153019D6
gas,,,3344760407,5533047
gas,,,9353702600,G4K00093971601
gas,,,9321157000,141225
gas,,,9132637707,G4A50365180401
gas,,,8814455000,E100K0889716D6
gas,,,9386167402,
gas,,,9386167301,
gas,,,9386167200,
gas,,,2178139105,8010607S
gas,,,8878361003,G4K04362510101
gas,,,49377006,E100K0684015D6
,,,,
elec,1012365193532,,,
elec,2000002776688,,,
elec,1200023889295,,,
elec,1012840164460,,,
elec,1610013458396,,,
elec,1100013002246,,,
elec,1200031212290,,,
elec,1100013376479,,,
elec,2000005360676,,,
elec,2000000918809,,,
elec,1200035044308,,,
elec,1100013394200,,,
elec,1100014218295,,,
elec,1100013437476,,,
elec,1100050353789,,,
elec,1100012978010,,,
elec,1200028863264,,,
elec,1200023888422,,,
elec,1100012256865,,,
elec,2000001118223,,,
elec,1610030519846,,,
elec,1200023693058,,,
elec,1200039353963,,,
elec,1200036706850,,,
elec,2000027292525,,,
elec,2000052203620,,,
elec,1100012367180,,,
elec,1200035309428,,,
elec,1012411735640,,,
elec,1100770390932,,,
elec,1200031737603,,,
elec,1900090884678,,,
elec,1200035044274,,,
elec,1610030109105,,,
elec,1100013363034,,,
elec,1100022741237,,,
elec,2000003740646,,,
elec,1160001391012,,,
elec,1610029543830,,,
elec,1200035044265,,,
elec,1200032181730,,,
elec,1200032181720,,,
elec,1200022674755,,,
elec,1100012828893,,,
elec,1200029073290,,,
elec,1100012419769,,,
elec,2000013155429,,,
elec,1130000044087,,,
elec,1100023687680,,,
elec,1100039616770,,,
elec,1100022928521,,,
elec,1100025645051,,,
elec,1100012992812,,,
elec,1200033802111,,,
elec,1100023687653,,,
elec,1800050464413,,,
elec,1160001391040,,,
elec,1100022864880,,,
elec,2000027291638,,,
elec,2000052611529,,,
elec,2000052611529,,,
elec,1200060001213,,,
elec,1012835267302,,,
elec,1200033143327,,,
elec,1012835267534,,,
elec,2000002150399,,,
elec,2000001750420,,,
elec,2000002072225,,,
elec,1800033326039,,,
elec,1610030499739,,,
elec,1418041631009,,,
elec,1200021590208,,,
elec,1100013389654,,,
elec,1100012335514,,,
elec,1200010254443,,,
elec,2000002150380,,,
elec,2000001571393,,,
elec,1610029545527,,,
elec,1200033143345,,,
elec,2000002049875,,,
elec,2000055011969,,,
elec,2000000001445,,,
elec,2000002072387,,,
elec,1023467071583,,,
elec,1100012221890,,,
elec,2000001941464,,,
elec,2000002074091,,,
elec,1100013459879,,,
elec,2000001001890,,,
elec,1200052292281,,,
elec,1610030457135,,,
elec,2000003752508,,,
elec,1200052493144,,,
elec,2000005704161,,,
elec,2000002926253,,,
elec,2000002925028,,,
elec,2000003060851,,,
elec,1200033799480,,,
elec,1200028573973,,,
elec,2000000582144,,,
elec,1200041594137,,,
elec,2000000056987,,,
elec,2000002781330,,,
elec,1100025485405,,,
elec,1100020762893,,,
elec,1100013394228,,,
elec,2000002127195,,,
elec,1640000132500,,,
elec,1900037116737,,,
elec,1900034115493,,,
elec,1900028117362,,,
elec,1900006127772,,,
elec,1100012314490,,,
elec,2000000660787,,,
elec,1100012739870,,,
elec,2000007923345,,,
elec,1100012577093,,,
elec,2000012228954,,,
elec,2200014268239,,,
elec,1610029545493,,,
elec,1900020428621,,,
elec,1900024019485,,,
elec,1200038480509,,,
elec,2000000886290,,,
elec,2000002758730,,,
elec,2000020864895,,,
elec,1014570964831,,,
elec,2000004664163,,,
elec,1012562957427,,,
elec,1900024265962,,,
elec,1900012265699,,,
elec,1012927369193,,,
elec,1200028826129,,,
elec,2000001743431,,,
elec,1100013008424,,,
elec,1100012321070,,,
elec,1100012815421,,,
elec,2199994598879,,,
elec,1200037077110,,,
elec,1419264571005,,,
elec,1418264571003,,,
elec,2200014960810,,,
elec,1200010039284,,,
elec,2199991829436,,,
elec,1620001474456,,,
elec,1412295481007,,,
elec,1200029037060,,,
elec,1100050686454,,,
elec,1200030203912,,,
elec,1012994184425,,,
elec,1100020883589,,,
elec,1200022935480,,,
elec,2000012229122,,,
elec,1050000414820,,,
elec,2000027291512,,,
elec,1100050816618,,,
elec,1200021930560,,,
elec,1610018618122,,,
elec,1610018618113,,,
elec,1610018618113,,,
elec,2000002701869,,,
elec,1013023063917,,,
elec,1100013862742,,,
elec,1100019008768,,,
elec,2000003060870,,,
elec,1015684613561,,,
elec,2000001093535,,,
elec,2000054232056,,,
elec,1900008080888,,,
elec,1900070063237,,,
elec,2200013969991,,,
elec,2000001721873,,,
elec,1013001459557,,,
elec,1100013044742,,,
elec,1200040966384,,,
elec,1012627818343,,,
elec,1012358084927,,,
elec,1012358084699,,,
elec,1200034567583,,,
elec,2323433801719,,,
elec,1610022586944,,,
elec,2000003885537,,,
elec,1200034574660,,,
elec,1200035152323,,,
elec,1023495866895,,,
elec,1200031147792,,,
elec,1200031818262,,,
elec,1100015924815,,,
elec,2000015387123,,,
elec,2000021404952,,,
elec,2000002158333,,,
elec,2000010520571,,,
elec,1012839825670,,,
elec,1200022048260,,,
elec,2000002764335,,,
elec,1200024195480,,,
elec,2000000009426,,,
elec,2000002516320,,,
elec,1012587100066,,,
elec,2000016986449,,,
elec,1900014275314,,,
elec,1200050242837,,,
elec,1200025423592,,,
elec,1200035905440,,,
elec,1160000527116,,,
elec,1012818585638,,,
elec,1900037005171,,,
elec,2199990998630,,,
elec,1100051191133,,,
elec,1050000751858,,,
elec,2000009541313,,,
elec,2000002701850,,,
elec,2000009977193,,,
elec,1100010685823,,,
elec,2000009897022,,,
elec,1800031825977,,,
elec,1100005524399,,,
elec,1610021196166,,,
elec,1100001622720,,,
elec,1900048175457,,,
elec,1200028643432,,,
elec,1200024899851,,,
elec,1013009759794,,,
elec,1012390768610,,,
elec,2363601459015,,,
elec,1100012757123,,,
elec,1100012966316,,,
elec,2000055591308,,,
elec,2000015919734,,,
elec,1200036219494,,,
elec,1100012424616,,,
elec,1900038001099,,,
elec,1900032110137,,,
elec,2200014112940,,,
elec,1200050802674,,,
elec,1200037327109,,,
elec,2200041649295,,,
elec,2333259842924,,,
elec,2333259842915,,,
elec,2000016153470,,,
elec,1416215191005,,,
elec,1200020669540,,,
elec,2200021034125,,,
elec,1200051591268,,,
elec,1100012719030,,,
elec,1591018729699,,,
elec,1900036086480,,,
elec,1610023536777,,,
elec,1050000119030,,,
elec,1900027113970,,,
elec,1100025438140,,,
elec,2000005696830,,,
elec,1610021418798,,,
elec,2199998878927,,,
elec,1610013517484,,,
elec,1591035030317,,,
elec,1591033994014,,,
elec,1900007425525,,,
elec,1300002902652,,,
elec,2000025258160,,,
elec,2000002816685,,,
elec,1715425124203,,,
elec,2199999405854,,,
elec,1418370671009,,,
elec,1416370671005,,,
elec,2000011049783,,,
elec,2200011759465,,,
elec,2200011759456,,,
elec,1012427698336,,,
elec,1012837999471,,,
elec,1417810000001,,,
elec,1012938318578,,,
elec,1013058233674,,,
elec,2000011854970,,,
elec,2000011854960,,,
elec,2000022241526,,,
elec,1415633490003,,,
elec,2199999172044,,,
elec,1900019333671,,,
elec,1100013369694,,,
elec,1300011258504,,,
elec,1419852850008,,,
elec,1414961003000,,,
elec,1200024014810,,,
elec,1012575939775,,,
elec,1100011629332,,,
elec,2311298462810,,,
elec,1300001978785,,,
elec,1012833278720,,,
elec,1411137080009,,,
elec,1415666831008,,,
elec,1100006702404,,,
elec,1610030143940,,,
elec,2380000763496,,,
elec,1170000597040,,,
elec,2322821471517,,,
elec,2355572528718,,,
elec,1100012722264,,,
elec,1200021576081,,,
elec,1012843064304,,,
elec,1200010129325,,,
elec,1610030901997,,,
elec,2200014004010,,,
elec,1200034192413,,,
elec,2366541880011,,,
elec,1900070733877,,,
elec,2000013278812,,,
elec,2000013278609,,,
elec,2000013278593,,,
elec,2199999667073,,,
elec,1714739080944,,,
elec,2000027490159,,,
elec,1800051367047,,,
elec,1012722577191,,,
elec,1012722576969,,,
elec,1415845591003,,,
elec,1900040128760,,,
elec,2000016146808,,,
elec,1900040008730,,,
elec,2000002570140,,,
elec,2000002569873,,,
elec,2000050851202,,,
elec,2365236379110,,,
elec,1610030088528,,,
elec,2000001001775,,,
elec,2199991883275,,,
elec,2000027381023,,,
elec,1610031905760,,,
elec,1610031905751,,,
elec,2200011740126,,,
elec,2200011740117,,,
elec,1023510628296,,,
elec,1900038102665,,,
elec,1200041526800,,,
elec,1430000050456,,,
elec,1413797361005,,,
elec,2000001000629,,,
elec,1100001394479,,,
elec,1100013136933,,,
elec,1200034207646,,,
elec,1900000251794,,,
elec,1419393012004,,,
elec,1418393012002,,,
elec,1417393012000,,,
elec,1100021029838,,,
elec,2323013051810,,,
elec,1610005995757,,,
elec,1200010250068,,,
elec,1415321021009,,,
elec,2331128525315,,,
elec,1100012940540,,,
elec,2200020685190,,,
elec,2000001834762,,,
elec,1100012656008,,,
elec,2000053019799,,,
elec,1100039630915,,,
elec,1200021461707,,,
elec,2199996214871,,,
elec,1012426326847,,,
elec,2000027292696,,,
elec,1012868194795,,,
elec,1100023539421,,,
elec,1200050140123,,,
elec,2000001757470,,,
elec,1413908491002,,,
elec,2375916425014,,,
elec,1900001089077,,,
elec,1200021567398,,,
elec,2000001491028,,,
elec,2000010468771,,,
elec,2000002152146,,,
elec,1160000995724,,,
elec,2000000672560,,,
elec,1900021057089,,,
elec,1012406381018,,,
elec,1200039736402,,,
elec,2000001631750,,,
elec,2000007294573,,,
elec,1414084141000,,,
elec,2000027533900,,,
elec,1100020558538,,,
elec,1013004033254,,,
elec,2380001373996,,,
elec,2000000728761,,,
elec,1200021472017,,,
elec,1100018772190,,,
elec,1100025411342,,,
elec,2000001780860,,,
elec,1300001642335,,,
elec,1100001394488,,,
elec,2000002863550,,,
elec,1023545960987,,,
elec,1900029016717,,,
elec,2335631216716,,,
elec,1413530760006,,,
elec,1100013360520,,,
elec,1620001521878,,,
elec,1419888501009,,,
elec,1100020321154,,,
elec,1100020321145,,,
elec,1200029647410,,,
elec,1100005972477,,,
elec,2000011379839,,,
elec,1200028695820,,,
elec,1012669631885,,,
elec,2000002281064,,,
elec,2000009908613,,,
elec,2000009908604,,,
elec,1100009889404,,,
elec,1023518095014,,,
elec,1610030873132,,,
elec,1200020558737,,,
elec,2200022241205,,,
elec,1012490224069,,,
elec,1100770128978,,,
elec,1160000964345,,,
elec,1200033143336,,,
elec,1012427150936,,,
elec,1900012234050,,,
elec,2321481180610,,,
elec,1200042386073,,,
elec,1100004521731,,,
elec,2200022329339,,,
elec,1013022386790,,,
elec,2000024339056,,,
elec,2000009908845,,,
elec,1200041481985,,,
elec,1200024724450,,,
elec,2000001631360,,,
elec,1200033335115,,,
elec,1012793847523,,,
elec,2000002152795,,,
elec,1100770128969,,,
elec,1012820622519,,,
elec,1012392561233,,,
elec,2334311049725,,,
elec,2334311049716,,,
elec,2000006034766,,,
elec,2000016287401,,,
elec,1900022043991,,,
elec,1900022043982,,,
elec,1100013175738,,,
elec,2000002985426,,,
elec,1800022317987,,,
elec,2334200070714,,,
elec,1900005055470,,,
elec,1012998053489,,,
elec,1200028950953,,,
elec,1200031073769,,,
elec,2000002127098,,,
elec,1200032206599,,,
elec,2000051441803,,,
elec,1200060944580,,,
elec,1200060944570,,,
elec,1200060944561,,,
elec,1200060944552,,,
elec,1100012408720,,,
elec,2000002050286,,,
elec,1100770362721,,,
elec,2000002050755,,,
elec,1100012305760,,,
elec,2000052168212,,,
elec,1100003923097,,,
elec,2000001468171,,,
elec,1200042335194,,,
elec,1200042335185,,,
elec,1630000022360,,,
elec,1100023777331,,,
elec,1411547070000,,,
elec,1200026779540,,,
elec,1012402648577,,,
elec,2000009886624,,,
elec,1012607166180,,,
elec,1012424540202,,,
elec,1200030504302,,,
elec,2000005381054,,,
elec,1100014947510,,,
elec,1030047897968,,,
elec,2000003224698,,,
elec,1200023044025,,,
elec,2000002819941,,,
elec,2000002930301,,,
elec,1012785600182,,,
elec,2000002178809,,,
elec,1012703840930,,,
elec,1200038853529,,,
elec,1630000183100,,,
elec,2000026403049,,,
elec,1415578980005,,,
elec,2000002077162,,,
elec,1900001384876,,,
elec,1100013764619,,,
elec,1200039312178,,,
elec,2000027306986,,,
elec,1200037327093,,,
elec,1200041867912,,,
elec,1012673698056,,,
elec,1012657017076,,,
elec,1012657016843,,,
elec,1300004646972,,,
elec,1800027292991,,,
elec,1200032056007,,,
elec,2200016270903,,,
elec,2000000881186,,,
elec,2000000881070,,,
elec,2000000881033,,,
elec,2000000881024,,,
elec,1414789802008,,,
elec,1413677500005,,,
elec,1012387625897,,,
elec,1100039503570,,,
elec,1200039130564,,,
elec,1610020217188,,,
elec,1200050709326,,,
elec,2000002073878,,,
elec,1416992971003,,,
elec,2000002799978,,,
elec,2000000183240,,,
elec,1012349294328,,,
elec,1200029337370,,,
elec,1200029337351,,,
elec,1630000264966,,,
elec,1012551357147,,,
elec,2330258539917,,,
elec,2330258520916,,,
elec,1600000059820,,,
elec,1414583921000,,,
elec,1160001051010,,,
elec,1012729322860,,,
elec,2000052046383,,,
elec,1200041028355,,,
elec,1200034208000,,,
elec,1100003396947,,,
elec,1200037311483,,,
elec,2000003096858,,,
elec,1200022690960,,,
elec,1100022896933,,,
elec,1100012914248,,,
elec,2000001010789,,,
elec,1200050966007,,,
elec,1200035716253,,,
elec,1012841974103,,,
elec,1012419853262,,,
elec,2000056600186,,,
elec,1200023689682,,,
elec,1200041501197,,,
elec,1100003717189,,,
elec,1100003717170,,,
elec,1100003717620,,,
elec,2000000012562,,,
elec,1900033191590,,,
elec,2000004689414,,,
elec,1200031471001,,,
elec,1800031916950,,,
elec,1023542716510,,,
elec,1100770234969,,,
elec,1413369931007,,,
elec,2000004760165,,,
elec,1013032414336,,,
elec,2000004403585,,,
elec,1460001232742,,,
elec,2000050932206,,,
elec,1100013433505,,,
elec,1200041770324,,,
elec,1023529617555,,,
elec,1050000295612,,,
elec,1023483812827,,,
elec,1160000462328,,,
elec,1100005450133,,,
elec,1419976331007,,,
elec,1012860230123,,,
elec,2200014127946,,,
elec,1900002192839,,,
elec,1012860230587,,,
elec,2000027433781,,,
elec,1200039896018,,,
elec,1100014380253,,,
elec,2352133993016,,,
elec,2000000727712,,,
elec,2000005088575,,,
elec,2000010053609,,,
elec,1200038100977,,,
elec,1900002019080,,,
elec,1300008901120,,,
elec,1012458512585,,,
elec,1418738571002,,,
elec,1800060023687,,,
elec,2200011373358,,,
elec,2200010412068,,,
elec,2000000132096,,,
elec,1200037403196,,,
elec,1030001631161,,,
elec,1012377951861,,,
elec,1900070638220,,,
elec,1900011007763,,,
elec,1900023002027,,,
elec,1200038268085,,,
elec,1419644680003,,,
elec,1411745391008,,,
elec,1900009058457,,,
elec,1100022056113,,,
elec,2000016623272,,,
elec,1100011145564,,,
elec,1200022164295,,,
elec,2000053025738,,,
elec,1030023423439,,,
elec,2000056396100,,,
elec,1900000102300,,,
elec,1012501195988,,,
elec,1200061505061,,,
elec,1200060911798,,,
elec,1200060911789,,,
elec,1200034923518,,,
elec,1200034923448,,,
elec,1200034434800,,,
elec,1200030739957,,,
elec,1023544079720,,,
elec,1023538647351,,,
elec,1012345830523,,,
elec,2000054380144,,,
elec,1200035943204,,,
elec,1800020850112,,,
elec,1013027901275,,,
elec,1100004743871,,,
elec,1100001974666,,,
elec,2000001479572,,,
elec,2000001479545,,,
elec,2000001479536,,,
elec,1200027958970,,,
elec,2000052879478,,,
elec,2000025525794,,,
elec,1411584201005,,,
elec,2000054240952,,,
elec,1460001386390,,,
elec,2200014799220,,,
elec,1410946740009,,,
elec,2000018331017,,,
elec,2000000751014,,,
elec,2199991969746,,,
elec,2000056055744,,,
elec,2000056055735,,,
elec,2000054007855,,,
elec,2000018329027,,,
elec,2000004812414,,,
elec,2000003851281,,,
elec,1200023656117,,,
elec,1012831501742,,,
elec,1900032116272,,,
elec,1200050074482,,,
elec,1100020364654,,,
elec,1200050686714,,,
elec,2000001834692,,,
elec,1012532237470,,,
elec,1300051310118,,,
elec,2000056055753,,,
elec,1200025282850,,,
elec,2000004670539,,,
elec,2200021179656,,,
elec,2000000854085,,,
elec,2366524385016,,,
elec,2336526109015,,,
elec,2312837135010,,,
elec,2200030016150,,,
elec,2000027400935,,,
elec,2000011050431,,,
elec,1900061083291,,,
elec,1900061083282,,,
elec,1900048383380,,,
elec,1800026080983,,,
elec,1700052064790,,,
elec,1591039143715,,,
elec,1423745100008,,,
elec,1412309710009,,,
elec,1300054881201,,,
elec,1100050619519,,,
elec,1100039504583,,,
elec,1100039503757,,,
elec,1100039370617,,,
elec,1023496365074,,,
elec,1013086976548,,,
elec,1200037098350,,,
elec,1200037098360,,,
elec,2000050398403,,,
elec,2199996552254,,,
elec,1100012419909,,,
elec,2000009732845,,,
elec,1200039257233,,,
elec,1030005593147,,,
elec,1030005592914,,,
elec,1023543939194,,,
elec,1023543935288,,,
elec,1023538647583,,,
elec,1023511897897,,,
elec,1200041944318,,,
elec,2000005229020,,,
elec,2000005731713,,,
elec,2000000582482,,,
elec,1013068564819,,,
elec,2000002050329,,,
elec,2000055285573,,,
elec,2000003971595,,,
elec,1900091043885,,,
elec,1023532558565,,,
elec,1012663136450,,,
elec,1100001461293,,,
elec,1100025631634,,,
elec,1900035087819,,,
elec,1023505926408,,,
elec,1300053254157,,,
elec,1012840217369,,,
elec,1012831389735,,,
elec,2000022454750,,,
elec,2000054241005,,,
elec,1900046023210,,,
elec,1900007055427,,,
elec,2000051444042,,,
elec,2000002802975,,,
elec,1200062238760,,,
elec,1100013433514,,,
elec,1610031271731,,,
elec,1610031271722,,,
elec,1610031271713,,,
elec,1610031271704,,,
elec,1100013447535,,,
elec,1100012285810,,,
elec,2000000869597,,,
elec,2000000869579,,,
elec,1200060366725,,,
elec,2000055533919,,,
elec,2000000673304,,,
elec,1014568248765,,,
elec,2200021034204,,,
elec,2000000725120,,,
elec,2000055533937,,,
elec,1100012970517,,,
elec,2000054680472,,,
elec,2000003060898,,,
elec,2000002802585,,,
elec,1900014014550,,,
elec,1900000013021,,,
elec,1100009989456,,,
elec,1610004115086,,,
elec,1012592650196,,,
elec,1200023894212,,,
elec,1200030899632,,,
elec,1200030899650,,,
elec,1200030899641,,,
elec,2000003765065,,,
elec,1100015535139,,,
elec,1900037389019,,,
elec,2000001976379,,,
elec,2000002077135,,,
elec,2000002668477,,,
elec,1200032983064,,,
elec,1050000001931,,,
elec,2000003146941,,,
elec,1900040027440,,,
elec,2000051015817,,,
elec,1200028147300,,,
elec,1100015448489,,,
elec,2000008686880,,,
elec,1012402289540,,,
elec,2000051307657,,,
elec,2000000042910,,,
elec,1411855781008,,,
elec,1419755781007,,,
elec,1900014088603,,,
elec,1610004058473,,,
elec,2000005706888,,,
elec,1200024515996,,,
elec,1012522968935,,,
elec,1100013358726,,,
elec,2331617810112,,,
elec,1900016425503,,,
elec,2500000123322,,,
elec,1800030695580,,,
elec,1015683321429,,,
elec,2000001779312,,,
elec,2372160805813,,,
elec,1900007259327,,,
elec,1900035087474,,,
elec,2200030115880,,,
elec,2000004824925,,,
elec,1100013355089,,,
elec,1900039116640,,,
elec,2000018652911,,,
elec,1900005088573,,,
elec,2000057244090,,,
elec,2000001703387,,,
elec,1200029647303,,,
elec,1200029647298,,,
elec,1200029647289,,,
elec,1800032694677,,,
elec,2000000474927,,,
elec,1419281751003,,,
elec,2200014163030,,,
elec,1100023447791,,,
elec,1200028988594,,,
elec,2000000726602,,,
elec,2000027315457,,,
elec,2000006970362,,,
elec,2000005829710,,,
elec,2000005706239,,,
elec,2000005706210,,,
elec,2000005706140,,,
elec,2000005704046,,,
elec,2000005702590,,,
elec,2000027297728,,,
elec,2300001121442,,,
elec,2000001834442,,,
elec,1012853230769,,,
elec,2000002733461,,,
elec,2200014895203,,,
elec,2000053717068,,,
elec,2000002187724,,,
elec,2000003743007,,,
elec,2000057449862,,,
elec,1013029436064,,,
elec,2000003742582,,,
elec,2200014894803,,,
elec,2000051769862,,,
elec,2000002080634,,,
elec,2000057563394,,,
elec,1900010391727,,,
elec,2000002137690,,,
elec,1416587121007,,,
elec,2000001014826,,,
elec,1015685358077,,,
elec,2000003114968,,,
elec,1200041752609,,,
elec,1900008253024,,,
elec,2000002154161,,,
elec,1012853238581,,,
elec,1012853238581,,,
gas,,,3373413702,
gas,,,61699101,
gas,,,2178240206,
gas,,,3359086103,
gas,,,69784503,
gas,,,69784402,
gas,,,1451094703,
gas,,,508044209,
gas,,,2177874501,
gas,,,58376207,
gas,,,9296642809,
gas,,,64711708,
gas,,,1451097406,
gas,,,8842386700,
gas,,,9322483905,
gas,,,3330582405,
gas,,,8816788408,
gas,,,9104232504,
gas,,,8875719308,
gas,,,3357867806,
gas,,,203204506,
gas,,,5002584407,
gas,,,2170803801,
gas,,,508044108,
gas,,,1455580205,
gas,,,75324106,
gas,,,8868049208,
gas,,,2168597904,
gas,,,76479410,
gas,,,2423239310,
gas,,,2440077700,
gas,,,46103301,
gas,,,9220132308,
gas,,,2178890908,
gas,,,9306160305,
gas,,,58371006,
gas,,,8898538208,
gas,,,2177874905,
gas,,,78552808,
gas,,,922008204,
gas,,,2440066908,
gas,,,202548904,
gas,,,9319780402,
gas,,,2178423102,
gas,,,8824893704,
gas,,,3391358105,
gas,,,9113107502,
gas,,,3290977503,
gas,,,9319333601,
gas,,,8917309404,
gas,,,3241372802,
gas,,,2565236301,
gas,,,2178334002,
gas,,,2178333909,
gas,,,1451101303,
gas,,,3258786209,
gas,,,8871887702,
gas,,,1815071109,
gas,,,3345483401,
gas,,,9295879005,
gas,,,55311309,
gas,,,8853958809,
gas,,,9089265205,
gas,,,3286445606,
gas,,,8834723303,
gas,,,8893371307,
gas,,,8871888109,
gas,,,60768010,
gas,,,60316603,
gas,,,3335238202,
gas,,,648247906,
gas,,,3346001900,
gas,,,60364008,
gas,,,5026811503,
gas,,,3369250904,
gas,,,13275409,
gas,,,3355264810,
gas,,,9095441510,
gas,,,2187397802,
gas,,,928725409,
gas,,,577442506,
gas,,,569387102,
gas,,,569386302,
gas,,,58690505,
gas,,,11170508,
gas,,,8910074210,
gas,,,8854894410,
gas,,,5088598801,
gas,,,58380804,
gas,,,3369150305,
gas,,,540546700,
gas,,,2178120409,
gas,,,8896776506,
gas,,,545318903,
gas,,,2004998153,
gas,,,82539904,
gas,,,67568004,
gas,,,3390874208,
gas,,,930570304,
gas,,,19098500,
gas,,,3407967405,
gas,,,3233863107,
gas,,,507972605,
gas,,,3330600605,
gas,,,928566404,
gas,,,3983661905,
gas,,,3379055508,
gas,,,3369385400,
gas,,,8900892205,
gas,,,605521007,
gas,,,3287149405,
gas,,,9145172003,
gas,,,2178265009,
gas,,,8817298205,
gas,,,2080936303,
gas,,,8816254101,
gas,,,3357795010,
gas,,,2505087801,
gas,,,2177600901,
gas,,,2435489810,
gas,,,4032201509,
gas,,,3288364504,
gas,,,58257603,
gas,,,76718806,
gas,,,8856611707,
gas,,,5090623301,
gas,,,8889566010,
gas,,,568069509,
gas,,,8819745102,
gas,,,8813536410,
gas,,,2486726508,
gas,,,3302265710,
gas,,,2792344007,
gas,,,17471609,
gas,,,3294723806,
gas,,,2245426205,
gas,,,2701273904,
gas,,,8814065806,
gas,,,3249010202,
gas,,,5799302,
gas,,,3319915103,
gas,,,9137100004,
gas,,,3936466510,
gas,,,2488209206,
gas,,,2069860509,
gas,,,2069860307,
gas,,,3345484908,
gas,,,9321930102,
gas,,,9209585503,
gas,,,9133140501,
gas,,,3352186206,
gas,,,2168299110,
gas,,,3345485910,
gas,,,7675376405,
gas,,,8910296307,
gas,,,45277004,
gas,,,565273504,
gas,,,8813010304,
gas,,,9113557803,
gas,,,2202420310,
gas,,,9190407806,
gas,,,9150714106,
