type,meter_number,mpan_top,mpar,serial_number
elec,2000050496500,03801127,,L84C68714
elec,1200031356451,03801952,,A13LB37899
elec,1100039644820,03801013,,E12Z115213
gas,,,3309273902,M016A0279909A6
elec,1200032545072,03801952,,E05X017235
gas,,,85641102,8022568S
elec,1012405238371,04139248,,E12Z149193
elec,2000002152712,03801100,,E14Z025647
elec,1200028147300,03801952,,L84A 17022
elec,1012842964940,03801201,,Z03E175952
elec,2000027745917,03801127,,215121304
gas,,,609326209,G4K67091360614
elec,2000000826111,01801100,,L90C55496
gas,,,8813576804,G4K50306281101
elec,2000056426882,03801126,,E14ML21030
elec,2200015517094,03801110,,D13D22678
elec,1200028573964,03801952,,210203004
gas,,,9357981707,E016K0390117D6
elec,1200031271514,03801952,,D09C00290
elec,2000002073896,03801126,,E11UP01234
gas,,,3357001608,G4A00827661201
gas,,,3080416610,G4A00335070501
elec,2000053797550,03801H07,,P06C09678
elec,1800020686598,03801201,,E12Z053167
elec,2000027290555,00845453,,08C00912
elec,2000001838386,03801120,,S81C60042
gas,,,85642306,G4K00142081701
elec,2200014894724,04874210,,214672737
gas,,,3339643703,00833721
gas,,,3336039706,06340781
gas,,,73860401,CD35097
elec,2333691721718,03801240,,E18UP14878
elec,1200028060625,03801952,,A10LB08791
elec,2200014895027,03801110,,K72D06767
elec,2000003029977,03801127,,E12Z013458
elec,1100013358744,03801013,,F01FC00253
gas,,,3340057504,G4K65894660612
gas,,,606343710,M016K0134914D6
elec,2000000727980,03801126,,S74C01720
elec,2000005604555,01801100,,
gas,,,77737602,G4K00358781701
elec,2000002152493,03107134,,P05C04678
elec,2200042474607,03801110,,214662114
elec,2000022352384,03801127,,L07C37874
elec,2000022352427,04518142,,D08C59018
gas,,,8930968309,M025K0048213D6
elec,1012394000807,04807205,,E10TD01216
elec,1100013358708,03801013,,F01FC00243
elec,1200031779445,03801953,,K12A000570
elec,1100022793021,04811037,,K84FB01822
gas,,,8816288410,7067248
elec,2000027490390,00845453,,K11W576597
gas,,,3330913009,04132213
elec,2000005531297,03801100,,K69C10884
elec,1414501451003,01801001,,
gas,,,9119709202,G4A50226830501
gas,,,3375202306,G4K00212650101
elec,2000004688340,03801H01,,L03C18255
elec,1012583299083,04811205,,E17UP24580
gas,,,5059437101,G4K00040951501
gas,,,3358664909,00574835
elec,2000001014064,03801127,,L73C04636
elec,2000005706131,03801126,,E12Z033323
elec,2200010412068,03801110,,K11D00616
elec,1200022523531,03801952,,E16BG14151
gas,,,9381450102,E025K0356719D6
elec,2000057559671,03801H07,,19095369
elec,2000002557585,03801126,,D09R03328
elec,2500001136730,03801003,,E13D01829
elec,1100015424993,04817037,,E10BG26647
gas,,,8866595809,G4A00648459901
elec,2000027535066,04108136,,D03C33997
elec,2000053513060,03801127,,S05R02515
elec,1200052417551,00900009,,216849615
gas,,,2739860900,G4K00280181601
gas,,,3294728008,G4K00193341601
elec,1012840237834,04807205,,E12Z023713
elec,1900035395785,03801320,,A189700
gas,,,646358007,G4K00049161401
elec,1900032388916,04016120,,I08B00983
gas,,,648093108,G4K70489301012
elec,1200031646898,01801902,,D02A 18046
gas,,,62312605,429471
elec,2000056840697,00845453,,NG17K00185
elec,1200030577090,04874956,,217374584
elec,1200024027740,00845009,,E07BG17794
gas,,,8902257301,E065K1668115D6
elec,2330481800710,03801240,,YK73K07258
elec,2000005704055,03801126,,E11Z02814
elec,1100013358735,04807037,,Z03FF18386
gas,,,5005539608,G4A02348630601
elec,1200031923738,03801953,,E14Z022388
elec,1200031923729,03801952,,E14Z022631
gas,,,3326940901,00139260
elec,2000003743016,03801126,,S84C74409
gas,,,8917866908,7026077S
gas,,,3355945700,G4A02016670501
elec,2000027299186,00845453,,K11W577278
elec,2000000727962,03801127,,E10Z14025
gas,,,3347144501,G4A03660450601
elec,1012405238600,01801003,,L75E014610
elec,2000001014817,03801127,,D06C10019
elec,2000001215274,03801126,,19L2027301
elec,2000002073948,03801127,,L69C15563
gas,,,3286229409,G4A02062240001
gas,,,63252809,00610075
elec,2000002126892,03801126,,
elec,2000000883918,03801126,,L07C04009
gas,,,8450979605,6338261
elec,1610023499130,04812661,,217213186
elec,1200052105575,03801952,,E12Z004422
gas,,,2136911406,G4A01241861401
elec,1200062184096,00845009,,NG17K01010
gas,,,60625302,802222
elec,1012634304111,04100015,,E13Z033797
elec,1012742780856,04188040,,D08W537277
gas,,,9096587600,M016A0098504A6
elec,1900027317898,04811120,,E10Z04027
gas,,,9322301805,M016K0537913D6
gas,,,2417396408,G4K67833610713
elec,1900027317898,04811120,,E10Z04027
elec,1012477831660,03801201,,217376557
elec,1012830064243,01801003,,S60E004686
elec,1610014348408,04812661,,213347537
elec,1200052417729,03801952,,I07A 00601
elec,2000000018652,03801126,,S74C15016
gas,,,3347143903,G4A01145590401
elec,1200036792974,03801952,,E12Z149121
gas,,,57451605,M100K0639414D6
elec,1200028988576,03801952,,F01A 08659
gas,,,8813411704,M025A0674210D6
elec,2000002910616,03801126,,F88C05825
elec,1012410357258,03801201,,D09W615702
gas,,,8450548701,91817
elec,2000057749755,03801126,,
elec,1200060962310,00845359,,K12A001606
gas,,,9328407807,M065A0034112A6
gas,,,9386935107,M016A0020811A6
elec,1100013007021,03801013,,S72FM33957
gas,,,9347103008,M016A0829813A6
elec,1900060292943,00900550,,215487232
elec,2000020692125,03801126,,E11BG32025
gas,,,2402018602,G4A05444940601
elec,2352133993016,03801240,,LD05K91146
elec,1100013358753,03801013,,F01FC00245
elec,1200031923747,03801953,,E14Z022386
elec,1012407828179,03136238,,E12Z007427
gas,,,71898405,8525216S
elec,2000002756413,03801126,,E12Z089017
elec,2376552312014,00900299,,E06BG25549
elec,2380000736215,03801240,,LD06K90823
gas,,,3348280705,E6S01396291356
elec,1200038268076,03801952,,216548501
elec,2000027311105,00845453,,NG17K00552
gas,,,3300214009,M040A0122013D6
gas,,,3264301301,G4A00292881101
gas,,,3368778908,M016K0193914D6
elec,1100013433490,04811N14,,D08W714031
elec,2000054756262,03801126,,D10C24381
elec,2000027321140,00845453,,NG04K01992
elec,1100012408163,01801001,,S80FM25924
elec,2000003224545,03801127,,Z14N109701
elec,1012398797450,03801201,,E20UP03608
elec,1012365579019,03801201,,E13Z048181
gas,,,2950679602,M016A0105800A6
gas,,,8821862408,M016A1379712A6
gas,,,14367902,G4A01766280501
gas,,,3357001305,G4K00162671501
gas,,,8880459008,8880459008
elec,1050000654861,03801201,,214599868
elec,2000000001427,03801126,,L98C89388
gas,,,3350345403,G4K00359371501
gas,,,9088130300,G4W03738240101
elec,1900023228756,03801204,,E12Z049704
elec,2500001136847,03801003,,19L3714772
gas,,,9347346102,E016K0717217D6
elec,2000001347690,04044H17,,211044577
elec,1100012966663,03801013,,E11BG20647
elec,1012853399580,03801201,,E12Z075168
elec,2000001832988,03801126,,K69C13286
elec,1012411762324,03136238,,210021553
gas,,,3338936006,G4K80062110801
elec,2000001715727,01801100,,K15C02722
gas,,,5058207707,M016K0415916D6
gas,,,3953413901,G4K00296071701
gas,,,3342995110,048244
elec,2000055231578,03801126,,K12C00600
gas,,,4005072701,2460918
elec,2000004824925,03801127,,V02C13426
gas,,,2551141207,G4W09985740101
elec,1419123141000,01801001,,
gas,,,60436602,M016A0939412A6
gas,,,3033640600,G4K00452961501
elec,1100006770877,04811037,,216548398
elec,1900035113006,03801320,,215135414
elec,1200020958110,03801952,,D15A203474
elec,2000054170339,03801127,,P14C00675
elec,2000002074844,03801127,,E10UP01791
elec,1023513163812,00845086,,K12W500192
gas,,,2572643103,0035664
elec,1900010056324,00900200,,E11Z22961
gas,,,9106483910,G4W03675960101
gas,,,9344422806,E6S08906321756
elec,1012365579019,03801201,,E13Z048181
gas,,,2950679602,M016A0105800A6
gas,,,3387045007,M016K0628614D6
elec,2000014760970,00900457,,214051242
elec,1411572971008,03801007,,E10Z18317
elec,2000057095135,00845370,,217333357
elec,2000002953140,03801126,,L73C14822
elec,2000002048366,03801126,,E10Z09094
elec,2200014894910,03801110,,E10Z01078
elec,1413275211004,04811010,,K85G10549
gas,,,2553860003,0342095
elec,1200029808487,03006952,,E10BG05543
elec,2000005706169,03801126,,L84C56475
gas,,,9213087608,E016K0471117D6
elec,1200039247801,03801952,,S72A 13469
elec,2000000776287,03801126,,L07C35385
elec,2000022352436,03501126,,S67C38115
elec,2000017725480,03801126,,S84C75273
elec,2000022618727,03800126,,S11R41783
elec,1900032283257,04811120,,E14Z023625
gas,,,3307537608,G4A00763711101
elec,1200020986641,03801952,,S11A014844
elec,1416990231004,04812010,,E15TB01220
elec,1900021274858,04812120,,217305102
elec,2000056600186,03801101,,K16C02765
elec,1610011620817,01801011,,
gas,,,9368490609,E016K0077619D6
gas,,,3379999509,01202670
elec,2000002756167,03801100,,K97C06056
elec,1900009087402,04811120,,P09B20905
gas,,,3353722007,G4A00832831401
elec,1050000221736,03801201,,E11Z53019
elec,1100013357555,03801013,,D06G539418
gas,,,3258370705,G4A02495140501
elec,1200031923765,03801952,,210015225
elec,2200011646673,03801210,,215022645
gas,,,3295494800,E6S16758011961
elec,2000000885464,03801126,,E13Z011057
gas,,,9302953208,U6S02956031502
elec,1012478306389,03801201,,E13Z046559
elec,1200031923774,03801953,,210015230
elec,2000002176634,03801126,,K93C73419
elec,2000002911220,03801H03,,E10Z07870
elec,2000055547169,03801126,,D12C14606
gas,,,9357914905,M016K0044317D6
elec,2200014894681,03801110,,E11Z43857
elec,2000022352375,03801126,,214562431
elec,1200022938533,03802952,,L80A 31513
elec,2000000726870,03801126,,E15UP02829
gas,,,3347158602,G4K00290361701
gas,,,2700952706,G4A02368400201
elec,2000001491064,03801126,,L07C30710
gas,,,14724900,M016A0817710A6
elec,2000051673621,08802400,,E11Z40585
elec,1012525426945,03801201,,E10TB03295
gas,,,3037623508,G4A50208550501
elec,2000054000238,03801126,,E14BG07293
gas,,,7553469607,G4K00061091501
gas,,,3388988505,00466491
gas,,,3347162200,G4A00652691301
elec,2000000724999,03105133,,209453118
elec,2000009912512,04108136,,E10Z01064
gas,,,3987055210,8009493S
gas,,,3347149006,G4W00407470701
elec,2000000727670,03801126,,E17UP21373
elec,1012843758909,03801239,,E14BG09581
elec,2000000730316,03801127,,E12Z007486
gas,,,690890910,G4A50061440401
gas,,,3935140710,G4K03091880101
elec,2500000921121,03801003,,E17UP06139
elec,2000000184689,03801126,,E12Z028689
elec,2000002187724,03801126,,15L0054861
elec,2380001445267,00845281,,K07W609707
elec,2000002153743,03801126,,17P2037510
elec,2333691723715,03801240,,E18UP14585
gas,,,9313400907,M025K0170011D6
elec,1900070179447,04812120,,E15UP02545
gas,,,8896016504,G4A06121530001
elec,1160000082560,04807037,,K10W576221
elec,2200042532296,03801110,,218140347
elec,2200014895300,03801110,,214244943
elec,2000005706897,03801126,,E15BG05068
gas,,,3326868201,G4K00374201701
elec,1012430185327,03801201,,216136580
elec,2000002137830,01801100,,Z13N027591
elec,2000002141074,01801100,,17K0505231
gas,,,3348281707,G4A00186081301
elec,2331259479215,03801246,,E12TB00991
elec,1200023089898,03005952,,E12Z149198
elec,1200040612079,03801952,,A11LB22909
gas,,,8813848609,M040K0270814D6
elec,1200021861562,03801952,,I03A01770
gas,,,3297962604,G4K00014731501
elec,2200014894672,03801110,,D12D27604
elec,2200014895170,03801110,,218759353
elec,1900002235730,04811120,,A10LB51448
gas,,,2739801704,G4K00280211601
elec,1200061254149,03801952,,K12A004496
gas,,,8450712800,G4A01312700801
elec,2000000186932,03801126,,L76C09670
gas,,,8913470301,G4K02743390101
elec,1417146641005,01801001,,
gas,,,2554524205,0537539
elec,2200018838680,01801010,,V03D44728
elec,1800017833055,03801224,,2111P03913
gas,,,9214492005,G4A50035521401
elec,1200033342743,03801952,,L87A33217
elec,2352723984416,04874246,,215137665
elec,2000027542189,04064130,,K94C91878
elec,2000005706113,03801126,,213010242
gas,,,16256106,M025K0145414D6
elec,1900040002613,03801320,,Z9943010
gas,,,47397900,G4K00265891701
elec,2000002074125,03801127,,L04C02241
gas,,,2545984205,G4P71072401600
elec,1417815611006,03801001,,16P7106484
gas,,,9125876005,M040A0077107A6
elec,2000003742990,03801127,,E17BG06741
elec,2000002811400,03801126,,S70C01978
elec,2000000184698,03801126,,S80C95635
elec,2199993709133,03801200,,E16Z004607
gas,,,50708805,G4K00268771701
elec,2000001704229,03107134,,L83C57125
elec,1200024581039,03801952,,
gas,,,4035902802,G4K00161661501
elec,2200014895310,02818430,,214672839
gas,,,9336155600,M040K0300414D6
elec,2000002158272,03801126,,K75C05779
elec,2000054170357,03801127,,K14C00829
gas,,,9145450409,G4A03401440101
elec,1300007391028,03801201,,K003J29139
elec,2200014895198,03801110,,212398769
elec,2200040949442,03801110,,E14Z020563
